accession	organism_name	species_taxid	ftp_path
GCF_002197385.1	Streptococcus agalactiae	1311	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/197/385/GCF_002197385.1_ASM219738v1/
GCF_002243535.1	Tetragenococcus halophilus	51669	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/243/535/GCF_002243535.1_ASM224353v1/
GCF_002848665.1	Enterococcus faecium	1352	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/848/665/GCF_002848665.1_ASM284866v1/
GCF_002884955.3	Aerococcus loyolae	2976809	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/884/955/GCF_002884955.3_Hybrid_assembly_2.0/
GCF_003020765.1	Enterococcus faecium	1352	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/020/765/GCF_003020765.1_ASM302076v1/
GCF_003402855.1	Streptococcus thermophilus	1308	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/402/855/GCF_003402855.1_ASM340285v1/
GCF_004154305.1	Streptococcus pyogenes	1314	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/154/305/GCF_004154305.1_ASM415430v1/
GCF_004328725.1	Lactococcus garvieae	1363	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/328/725/GCF_004328725.1_ASM432872v1/
GCF_007923885.2	Enterococcus faecium	1352	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/923/885/GCF_007923885.2_ASM792388v2/
GCF_008727815.1	Streptococcus sp. LPB0220	2610896	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/727/815/GCF_008727815.1_ASM872781v1/
GCF_009498175.3	Enterococcus faecalis	1351	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/498/175/GCF_009498175.3_ASM949817v3/
GCF_009730535.1	Streptococcus gordonii	1302	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/730/535/GCF_009730535.1_ASM973053v1/
GCF_009755785.1	Streptococcus ruminicola	2686210	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/755/785/GCF_009755785.1_ASM975578v1/
GCF_009792335.1	Streptococcus ruminicola	2686210	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/792/335/GCF_009792335.1_ASM979233v1/
GCF_012933295.2	Enterococcus faecium	1352	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/933/295/GCF_012933295.2_ASM1293329v2/
GCF_015838875.1	Streptococcus pneumoniae	1313	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/838/875/GCF_015838875.1_ASM1583887v1/
GCF_016415285.1	Enterococcus faecium	1352	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/415/285/GCF_016415285.1_ASM1641528v1/
GCF_016415505.1	Enterococcus faecium	1352	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/415/505/GCF_016415505.1_ASM1641550v1/
GCF_016743895.1	Enterococcus faecalis	1351	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/743/895/GCF_016743895.1_ASM1674389v1/
GCF_017815675.1	Enterococcus faecium	1352	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/815/675/GCF_017815675.1_ASM1781567v1/
GCF_018885285.1	Streptococcus suis	1307	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/885/285/GCF_018885285.1_ASM1888528v1/
GCF_018986875.1	Streptococcus parasuis	1501662	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/986/875/GCF_018986875.1_ASM1898687v1/
GCF_019175505.1	Enterococcus hirae	1354	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/175/505/GCF_019175505.1_ASM1917550v1/
GCF_019343125.1	Enterococcus lactis	357441	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/343/125/GCF_019343125.1_ASM1934312v1/
GCF_019915285.1	Streptococcus pneumoniae	1313	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/915/285/GCF_019915285.1_ASM1991528v1/
GCF_020616875.1	Enterococcus faecalis	1351	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/616/875/GCF_020616875.1_ASM2061687v1/
GCF_020826995.1	Streptococcus pyogenes	1314	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/826/995/GCF_020826995.1_ASM2082699v1/
GCF_020844125.1	Enterococcus faecalis	1351	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/844/125/GCF_020844125.1_ASM2084412v1/
GCF_022024355.1	Streptococcus thermophilus	1308	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/024/355/GCF_022024355.1_ASM2202435v1/
GCF_022069485.1	Streptococcus pneumoniae	1313	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/069/485/GCF_022069485.1_ASM2206948v1/
GCF_022069545.1	Streptococcus pneumoniae	1313	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/069/545/GCF_022069545.1_ASM2206954v1/
GCF_022069645.1	Streptococcus pneumoniae	1313	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/069/645/GCF_022069645.1_ASM2206964v1/
GCF_022648595.1	Enterococcus faecalis	1351	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/648/595/GCF_022648595.1_ASM2264859v1/
GCF_022749455.1	Enterococcus faecium	1352	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/749/455/GCF_022749455.1_ASM2274945v1/
GCF_023299325.1	Enterococcus faecium	1352	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/299/325/GCF_023299325.1_ASM2329932v1/
GCF_023299685.1	Enterococcus faecalis	1351	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/299/685/GCF_023299685.1_ASM2329968v1/
